,dir,session,vid,color type,color pair,tracked,error,lever,mag,event id,fiber pho,coop thresh,animal id,cohort,visual,vehicle,familiar,useable,single/multi,wrong shape,loc shape
0,PairedTestingSessions,022125_PairedTesting_TimeOut_DREADD_KM010-KM015G_DCZ-DCZ,022125_Cam1_TrNum8_Coop_KM010Y-KM015G_DCZ-SAL,collar,GY,True,0.35720205263302324,False,False,False,False,,KM010Y-KM015G,KM,transparent,DCZ,unsure,unuseable,multi,False,"[36441, 5, 2, 2]"
1,PairedTestingSessions,022125_PairedTesting_TimeOut_DREADD_KM010-KM015G_DCZ-DCZ,022125_Cam1_TrNum9_Coop_KM010B-KM010Y_DCZ-DCZ,collar,YB,True,0.017549732473590342,False,False,False,False,,KM010B-KM010Y,KM,transparent,DCZ,unsure,unuseable,multi,True,"[36445, 5, 2, 1]"
2,PairedTestingSessions,022125_PairedTesting_TimeOut_DREADD_KM010-KM015G_DCZ-DCZ,022125_Cam1_TrNum7_Coop_KM010B-KM015G_DCZ-SAL,collar,GB,True,0.08152558650020579,False,False,False,False,,KM010B-KM015G,KM,transparent,DCZ,unsure,unuseable,multi,True,"[36445, 5, 2, 1]"
3,PairedTestingSessions,051425_ELS-NN_PairedTesting_Coop-MDMA_Room1_2,051425_Cam1_Coop_NF009G-NF018Y,collar,GY,True,,False,False,False,False,,NF009G-NF018Y,NF,transparent,MDMA,familiar,unuseable,multi,,
4,PairedTestingSessions,051425_ELS-NN_PairedTesting_Coop-MDMA_Room1_2,051425_Cam1_Coop_NF009R-NF009G,collar,RG,True,0.054518732296510074,False,False,False,False,,NF009R-NF009G,NF,transparent,MDMA,familiar,unuseable,multi,True,"[37422, 5, 2, 1]"
5,PairedTestingSessions,022525_PairedTesting_TimeOut_DREADD_KL013-KM016B_SAL-SAL,022525_Cam1_TrNum6_Coop_KM013R-KL016B_SAL-SAL,collar,RB,True,0.0700068596515297,False,False,False,False,,KM013R-KL016B,KM,transparent,SAL,unsure,unuseable,multi,True,"[36445, 5, 2, 1]"
6,PairedTestingSessions,022525_PairedTesting_TimeOut_DREADD_KL013-KM016B_SAL-SAL,022525_Cam1_TrNum4_Coop_KM013G-KM016B_SA2-SAL,collar,GB,True,0.08595581171950048,False,False,False,False,,KM013G-KM016B,KM,transparent,SAL,unsure,unuseable,multi,True,"[36435, 5, 2, 1]"
7,PairedTestingSessions,022525_PairedTesting_TimeOut_DREADD_KL013-KM016B_SAL-SAL,022525_Cam1_TrNum9_Coop_KM013R-KM013G_SAL-SAL,collar,RG,True,0.04200762876979227,False,False,False,False,,KM013R-KM013G,KM,transparent,SAL,unsure,unuseable,multi,True,"[36441, 5, 2, 1]"
8,PairedTestingSessions,071125_PairedTesting_FiberPhoTrained_TimeOut_Opaque_KF023B-KF023G,071125_Cam3_TrNum4_Coop_KF023B-KF023G,collar,GB,True,0.07388226289941961,False,False,False,True,,KF023B-KF023G,KF,transparent,,unsure,unuseable,multi,True,"[15679, 5, 2, 1]"
9,PairedTestingSessions,071125_PairedTesting_FiberPhoTrained_TimeOut_Opaque_KF023B-KF023G,071125_Cam3_TrNum3_Coop_KF023G-KF023B_Opaque,collar,GB,True,0.02679908567825333,False,False,False,True,,KF023G-KF023B,KF,transparent,,unsure,unuseable,multi,True,"[12687, 5, 2, 1]"
10,PairedTestingSessions,071125_PairedTesting_FiberPhoTrained_TimeOut_Opaque_KF023B-KF023G,071125_Cam3_TrNum5_Coop_KF023B-KF023G_Opaque,collar,GB,True,0.02624971116074867,False,False,False,True,,KF023B-KF023G,KF,transparent,,unsure,unuseable,multi,True,"[12983, 5, 2, 1]"
11,PairedTestingSessions,041625_PairedTesting_TimeOut_DREADD_KM010B-SAL_KM010Y-CNO_KM013G-SAL,041625_Cam2_TrNum5_Coop_KM010Y-KM013G_CNO-SAL,collar,GY,True,0.34113627006998765,False,False,False,False,,KM010Y-KM013G,KM,transparent,,unsure,unuseable,multi,False,"[36435, 5, 2, 2]"
12,PairedTestingSessions,041625_PairedTesting_TimeOut_DREADD_KM010B-SAL_KM010Y-CNO_KM013G-SAL,041625_Cam2_TrNum6_Coop_KM010Y-KM010B_CNO-SAL,collar,YB,True,0.01883308714918759,False,False,False,False,,KM010Y-KM010B,KM,transparent,,unsure,unuseable,multi,True,"[24372, 5, 2, 1]"
13,PairedTestingSessions,041625_PairedTesting_TimeOut_DREADD_KM011B-SAL_KM011Y-CNO-KM013R-SAL,041625_Cam3_TrNum4_Coop_KM011Y-KM011B_CNO-SAL,collar,YB,True,0.01473821138211382,False,False,False,False,,KM011Y-KM011B,KM,transparent,,unsure,unuseable,multi,True,"[30750, 5, 2, 1]"
14,PairedTestingSessions,041625_PairedTesting_TimeOut_DREADD_KM011B-SAL_KM011Y-CNO-KM013R-SAL,041625_Cam3_TrNum6_Coop_KM011Y-KM013R_CNO-SAL,collar,RY,True,0.2931851998809642,False,False,False,False,,KM011Y-KM013R,KM,transparent,,unsure,unuseable,multi,True,"[20162, 5, 2, 1]"
15,PairedTestingSessions,030525_PairedTesting_TimeOut_DREADD_KL009-KL011Y_SAL-DCZ,030525_Cam2_TrNum4_Coop_KM009R-KM011Y_SAL-SAL,collar,RY,True,0.2737138871127129,False,False,False,False,,KM009R-KM011Y,KM,transparent,,unsure,unuseable,multi,True,"[34406, 5, 2, 1]"
16,PairedTestingSessions,030525_PairedTesting_TimeOut_DREADD_KL009-KL011Y_SAL-DCZ,030525_Cam2_TrNum9_Coop_KM009R-KM009G_SAL-DCZ,collar,RG,True,0.02829380764163373,False,False,False,False,,KM009R-KM009G,KM,transparent,,unsure,unuseable,multi,True,"[36432, 5, 2, 1]"
17,PairedTestingSessions,030525_PairedTesting_TimeOut_DREADD_KL009-KL011Y_SAL-DCZ,030525_Cam2_TrNum8_Coop_KM009G-KM011Y_DCZ-SAL,collar,GY,True,0.22949924543833172,False,False,False,False,,KM009G-KM011Y,KM,transparent,,unsure,unuseable,multi,False,"[36445, 5, 2, 2]"
