vid,session,single/multi,test/train,pred,color pair,initial nan,vel nan,correct,final nan,levers,mags,trial type,familiarity,fiber pho
090324_Cam1_TrNum14_Coop_KL002B-KL002Y,090324_FiberPho_KL002B-KL003_TimeOut,multi,test,False,YB,-1,-1,False,-1,True,True,coop,TP,True
090324_Cam1_TrNum12_Coop_KL002B-KL003G,090324_FiberPho_KL002B-KL003_TimeOut,multi,test,False,GB,-1,-1,False,-1,True,True,coop,UF,True
090324_Cam1_TrNum10_Coop_KL002B-KL003G,090324_FiberPho_KL002B-KL003_TimeOut,multi,test,False,GB,-1,-1,False,-1,True,True,coop,UF,True
090924_Cam1_TrNum10_Coop_KL007G-KL002Y,090924_FiberPho_KL007G-KL002_TimeOut,multi,test,False,GY,-1,-1,False,-1,True,True,coop,UF,True
090924_Cam1_TrNum14_Coop_KL007G-KL002B,090924_FiberPho_KL007G-KL002_TimeOut,multi,test,False,GB,-1,-1,False,-1,True,True,coop,UF,True
090924_Cam1_TrNum8_Coop_KL007G-KL007Y,090924_FiberPho_KL007G-KL002_TimeOut,multi,test,False,GY,-1,-1,False,-1,True,True,coop,TP,True
090924_Cam2_TrNum14_Coop_KL008B-KL002Y,090924_FiberPho_KL008B-KL003_TimeOut,multi,test,False,YB,-1,-1,False,-1,True,True,coop,UF,True
090924_Cam2_TrNum8_Coop_KL008B-KL003G,090924_FiberPho_KL008B-KL003_TimeOut,multi,test,False,GB,-1,-1,False,-1,True,True,coop,UF,True
090924_Cam2_TrNum12_Coop_KL008B-KL008G,090924_FiberPho_KL008B-KL003_TimeOut,multi,test,False,GB,-1,-1,False,-1,True,True,coop,TP,True
091024_Cam1_TrNum8_Coop_KL007Y-KL007G,091024_FiberPho_KL007Y-KL002_TimeOut,multi,test,False,GY,-1,-1,False,-1,True,True,coop,TP,True
091024_Cam1_TrNum14_Coop_KL007Y-KL002B,091024_FiberPho_KL007Y-KL002_TimeOut,multi,test,False,YB,-1,-1,False,-1,True,True,coop,UF,True
091024_Cam1_TrNum10_Coop_KL007Y-KL002G,091024_FiberPho_KL007Y-KL002_TimeOut,multi,test,False,GY,-1,-1,False,-1,True,True,coop,UF,True
