vid,session,single/multi,test/train,pred,color pair,initial nan,vel nan,correct,final nan,levers,mags,trial type,familiarity,fiber pho
090324_Cam1_TrNum14_Coop_KL002B-KL002Y,090324_FiberPho_KL002B-KL003_TimeOut,multi,test,True,YB,-1,-1,False,0.0002985910236073,True,True,coop,TP,True
090324_Cam1_TrNum12_Coop_KL002B-KL003G,090324_FiberPho_KL002B-KL003_TimeOut,multi,test,False,GB,-1,-1,False,-1.0,True,True,coop,UF,True
090324_Cam1_TrNum10_Coop_KL002B-KL003G,090324_FiberPho_KL002B-KL003_TimeOut,multi,test,False,GB,-1,-1,False,-1.0,True,True,coop,UF,True
090924_Cam1_TrNum10_Coop_KL007G-KL002Y,090924_FiberPho_KL007G-KL002_TimeOut,multi,test,True,GY,-1,-1,False,0.0011361879734116,True,True,coop,UF,True
090924_Cam1_TrNum14_Coop_KL007G-KL002B,090924_FiberPho_KL007G-KL002_TimeOut,multi,test,False,GB,-1,-1,False,-1.0,True,True,coop,UF,True
090924_Cam1_TrNum8_Coop_KL007G-KL007Y,090924_FiberPho_KL007G-KL002_TimeOut,multi,test,True,GY,-1,-1,False,0.0012349481075421,True,True,coop,TP,True
090924_Cam2_TrNum14_Coop_KL008B-KL002Y,090924_FiberPho_KL008B-KL003_TimeOut,multi,test,True,YB,-1,-1,False,0.0004014319477269,True,True,coop,UF,True
090924_Cam2_TrNum8_Coop_KL008B-KL003G,090924_FiberPho_KL008B-KL003_TimeOut,multi,test,False,GB,-1,-1,False,-1.0,True,True,coop,UF,True
090924_Cam2_TrNum12_Coop_KL008B-KL008G,090924_FiberPho_KL008B-KL003_TimeOut,multi,test,False,GB,-1,-1,False,-1.0,True,True,coop,TP,True
091024_Cam1_TrNum8_Coop_KL007Y-KL007G,091024_FiberPho_KL007Y-KL002_TimeOut,multi,test,True,GY,-1,-1,False,0.0014189080367208,True,True,coop,TP,True
091024_Cam1_TrNum14_Coop_KL007Y-KL002B,091024_FiberPho_KL007Y-KL002_TimeOut,multi,test,True,YB,-1,-1,False,0.0009302325581395,True,True,coop,UF,True
091024_Cam1_TrNum10_Coop_KL007Y-KL002G,091024_FiberPho_KL007Y-KL002_TimeOut,multi,test,True,GY,-1,-1,False,0.0079190139025272,True,True,coop,UF,True
091124_Cam1_TrNum8_Coop_KL002Y-KL002B,091124_FiberPho_KL002Y-KL005_TimeOut,multi,test,True,YB,-1,-1,False,0.0010473735095069,True,True,coop,TP,True
091124_Cam1_TrNum10_Coop_KL002Y-KL004R,091124_FiberPho_KL002Y-KL005_TimeOut,multi,test,True,RY,-1,-1,False,-1.0,True,True,coop,UF,True
091124_Cam1_TrNum14_Coop_KL002Y-KL005B,091124_FiberPho_KL002Y-KL005_TimeOut,multi,test,True,YB,-1,-1,False,0.0027120650996397,True,True,coop,UF,True
091124_Cam2_TrNum8_Coop_KL007Y-KL004R,091124_FiberPho_KL007Y-KL004_TimeOut,multi,test,True,RY,-1,-1,False,-1.0,True,True,coop,UF,True
091124_Cam2_TrNum14_Coop_KL007Y-KL004G,091124_FiberPho_KL007Y-KL004_TimeOut,multi,test,True,GY,-1,-1,False,0.0068781470292044,True,True,coop,UF,True
091124_Cam2_TrNum12_Coop_KL007Y-KL007G,091124_FiberPho_KL007Y-KL004_TimeOut,multi,test,True,GY,-1,-1,False,0.00827406928506,True,True,coop,TP,True
091224_Cam1_TrNum14_Coop_KL002B-KL002Y,091224_FiberPho_KL002B-KL005_TimeOut_NoTTL,multi,test,True,YB,-1,-1,False,3.860407659048795e-06,True,True,coop,TP,True
091224_Cam1_TrNum8_Coop_KL002B-KL005Y,091224_FiberPho_KL002B-KL005_TimeOut_NoTTL,multi,test,True,YB,-1,-1,False,0.0005122950819672,True,True,coop,UF,True
091224_Cam1_TrNum10_Coop_KL002B-KL008G,091224_FiberPho_KL002B-KL005_TimeOut_NoTTL,multi,test,False,GB,-1,-1,False,-1.0,True,True,coop,UF,True
091324_Cam2_TrNum8_Coop_KL005Y-KL007G,091324_FiberPho_KL005Y_KL007_TimeOut,multi,test,True,GY,-1,-1,False,0.006540856456194,True,True,coop,UF,True
091324_Cam2_TrNum12_Coop_KL005Y-KL006R,091324_FiberPho_KL005Y_KL007_TimeOut,multi,test,True,RY,-1,-1,False,0.0045707673392637,True,True,coop,UF,True
091324_Cam2_TrNum10_Coop_KL005Y-KL005B,091324_FiberPho_KL005Y_KL007_TimeOut,multi,test,True,YB,-1,-1,False,4.89215032243718e-05,True,True,coop,TP,True
091324_Cam1_TrNum14_Coop_KL006G-KL002B,091324_FiberPho_KL006G-KL002_TimeOut,multi,test,False,GB,-1,-1,False,-1.0,True,True,coop,UF,True
091324_Cam1_TrNum8_Coop_KL006G-KL006R,091324_FiberPho_KL006G-KL002_TimeOut,multi,test,True,RG,-1,-1,False,0.0041855203619909,True,True,coop,TP,True
091324_Cam1_TrNum12_Coop_KL006G-KL002Y,091324_FiberPho_KL006G-KL002_TimeOut,multi,test,True,GY,-1,-1,False,0.0078778429933969,True,True,coop,UF,True
091624_Cam2_TrNum8_Coop_KL003B-KL005Y,091624_FiberPho_KL003B-KL005_TimeOut,multi,test,True,YB,-1,-1,False,0.0001254214984784,True,True,coop,UF,True
091624_Cam2_TrNum12_Coop_KL003B-KL007G,091624_FiberPho_KL003B-KL005_TimeOut,multi,test,False,GB,-1,-1,False,-1.0,True,True,coop,UF,True
091624_Cam2_TrNum10_Coop_KL003B-KL003G,091624_FiberPho_KL003B-KL005_TimeOut,multi,test,False,GB,-1,-1,False,-1.0,True,True,coop,TP,True
091624_Cam1_TrNum14_Coop_KL006G-KL007Y,091624_FiberPho_KL006G-KL007_TimeOut,multi,test,True,GY,-1,-1,False,0.0006306094914061,True,True,coop,UF,True
091624_Cam1_TrNum8_Coop_KL006G-KL006R,091624_FiberPho_KL006G-KL007_TimeOut,multi,test,True,RG,-1,-1,False,0.0019400187441424,True,True,coop,TP,True
091624_Cam1_TrNum12_Coop_KL006G-KL005Y,091624_FiberPho_KL006G-KL007_TimeOut,multi,test,True,GY,-1,-1,False,0.0008349756249351,True,True,coop,UF,True
091724_Cam1_TrNum14_Coop_KL003G-KL003B,091724_FiberPho_KL003G-KL006_TimeOut,multi,test,False,GB,-1,-1,False,-1.0,True,True,coop,TP,True
091724_Cam1_TrNum10_Coop_KL003G-KL002Y,091724_FiberPho_KL003G-KL006_TimeOut,multi,test,True,GY,-1,-1,False,0.0028103992872762,True,True,coop,UF,True
091724_Cam1_TrNum8_Coop_KL003G-KL006R,091724_FiberPho_KL003G-KL006_TimeOut,multi,test,True,RG,-1,-1,False,0.0024093329951813,True,True,coop,UF,True
091724_Cam2_TrNum14_Coop_KL004G-KL002Y,091724_FiberPho_KL004G-KL002_TimeOut,multi,test,True,GY,-1,-1,False,0.0008980138047612,True,True,coop,UF,True
091724_Cam2_TrNum11_Coop_KL004G-KL006R,091724_FiberPho_KL004G-KL002_TimeOut,multi,test,True,RG,-1,-1,False,0.0011613733324304,True,True,coop,UF,True
091824_Cam1_TrNum8_Coop_KL006G-KL006R,091824_FiberPho_KL006G-KL003_TimeOut,multi,test,True,RG,-1,-1,False,0.0020724185953975,True,True,coop,TP,True
091824_Cam1_TrNum10_Coop_KL006G-KL001Y,091824_FiberPho_KL006G-KL003_TimeOut,multi,test,True,GY,-1,-1,False,0.0069907515349343,True,True,coop,UF,True
091824_Cam1_TrNum14_Coop_KL006G-KL003B,091824_FiberPho_KL006G-KL003_TimeOut,multi,test,False,GB,-1,-1,False,-1.0,True,True,coop,UF,True
091824_Cam2_TrNum12_Coop_KL008G-KL008B,091824_FiberPho_KL008G-KL001_TimeOut,multi,test,False,GB,-1,-1,False,-1.0,True,True,coop,TP,True
091824_Cam2_TrNum14_Coop_KL008G-KL001Y,091824_FiberPho_KL008G-KL001_TimeOut,multi,test,True,GY,-1,-1,False,-1.0,True,True,coop,UF,True
091824_Cam2_TrNum8_Coop_KL008G-KL003B,091824_FiberPho_KL008G-KL001_TimeOut,multi,test,False,GB,-1,-1,False,-1.0,True,True,coop,UF,True
091924_Cam1_TrNum14_Coop_KL003B-KL003G,091924_FiberPho_KL003B-KL004_TimeOut,multi,test,False,GB,-1,-1,False,-1.0,True,True,coop,TP,True
