vid,session,single/multi,test/train,pred,color pair,initial nan,vel nan,correct,final nan
071524_HF006G-HF008Y,071524,multi,train,True,,-1,-1,False,-1
071524_HF003B-HF004Y,071524,multi,train,True,,-1,-1,False,-1
071524_HF001R-HF002G,071524,multi,train,True,,-1,-1,False,-1
111924_NF018B-NF018Y,111924,multi,train,True,,-1,-1,False,-1
111924_NF019R-NF019G,111924,multi,train,True,,-1,-1,False,-1
111924_NM014B-NM014Y,111924,multi,train,True,,-1,-1,False,-1
111924_NF010B-NF010Y,111924,multi,train,True,,-1,-1,False,-1
111924_NF008B-NF008Y,111924,multi,train,True,,-1,-1,False,-1
111924_NF009R-NF009G,111924,multi,train,True,,-1,-1,False,-1
111924_NF032Y-NF032B,111924,multi,train,True,,-1,-1,False,-1
111924_NM002B-NM002Y,111924,multi,train,True,,-1,-1,False,-1
111924_NM003R-NM003G,111924,multi,train,True,,-1,-1,False,-1
112724_NM003R-NM003G,112724,multi,train,True,,-1,-1,False,-1
112724_NF019R-NF019G,112724,multi,train,True,,-1,-1,False,-1
112724_NM028R-NM028G,112724,multi,train,True,,-1,-1,False,-1
112724_NM002B-NM002Y,112724,multi,train,True,,-1,-1,False,-1
112724_NM015R-NM015G,112724,multi,train,True,,-1,-1,False,-1
112724_NF020B-NF020Y,112724,multi,train,True,,-1,-1,False,-1
112724_NM004B-NM004B,112724,multi,train,True,,-1,-1,False,-1
112724_NM001R-NM001G,112724,multi,train,True,,-1,-1,False,-1
112724_NM014B-NM014Y,112724,multi,train,True,,-1,-1,False,-1
112724_NF031R-NF031G,112724,multi,train,True,,-1,-1,False,-1
112724_NM016B-NM016Y,112724,multi,train,True,,-1,-1,False,-1
120624_NM028R-NM028G,120624,multi,train,True,,-1,-1,False,-1
120624_NM001R-NM001G,120624,multi,train,True,,-1,-1,False,-1
120624_NM014B-NM014Y,120624,multi,train,True,,-1,-1,False,-1
120624_NF019R-NF019G,120624,multi,train,True,,-1,-1,False,-1
120624_NM015R-NM015G,120624,multi,train,True,,-1,-1,False,-1
120624_NF031G-NF031R,120624,multi,train,True,,-1,-1,False,-1
120624_NM016B-NM016Y,120624,multi,train,True,,-1,-1,False,-1
120624_NM013R-NM013G,120624,multi,train,True,,-1,-1,False,-1
120624_NM004B-NM004Y,120624,multi,train,True,,-1,-1,False,-1
070324_HF001R-HF002G,070324,multi,train,True,,-1,-1,False,-1
070324_HF006G-HF008Y,070324,multi,train,True,,-1,-1,False,-1
070324_HF003B-HF004Y,070324,multi,train,True,,-1,-1,False,-1
071124_HF003B-HF004Y,071124,multi,train,True,,-1,-1,False,-1
071124_HF006G-HF008Y,071124,multi,train,True,,-1,-1,False,-1
071124_HF001R-HF002G,071124,multi,train,True,,-1,-1,False,-1
020425_KM012R-KM012G,020425,multi,train,True,,-1,-1,False,-1
020425_KM009R-KM009G,020425,multi,train,True,,-1,-1,False,-1
110724_NF010B-NF010Y,110724,multi,train,True,,-1,-1,False,-1
110724_NM011R-NM011G,110724,multi,train,True,,-1,-1,False,-1
111524_NF018B-NF018Y,111524,multi,train,True,,-1,-1,False,-1
111524_NF010B-NF010Y,111524,multi,train,True,,-1,-1,False,-1
111524_NM006B-NM006B,111524,multi,train,True,,-1,-1,False,-1
111524_NF019R-NF019G,111524,multi,train,True,,-1,-1,False,-1
111524_NM005R-NM005G,111524,multi,train,True,,-1,-1,False,-1
111524_NM011R-NM011G,111524,multi,train,True,,-1,-1,False,-1
112324_NF009R-NF009G,112324,multi,train,True,,-1,-1,False,-1
112324_NF032B-NF032Y,112324,multi,train,True,,-1,-1,False,-1
112324_NF020B-NF020Y,112324,multi,train,True,,-1,-1,False,-1
112324_NM001R-NM001G,112324,multi,train,True,,-1,-1,False,-1
120224_NF020B-NF020Y,120224,multi,train,True,,-1,-1,False,-1
120224_NM013R-NM013G,120224,multi,train,True,,-1,-1,False,-1
120224_NM028R-NM028G,120224,multi,train,True,,-1,-1,False,-1
120224_NM004B-NM004B,120224,multi,train,True,,-1,-1,False,-1
120224_NM015R-NM015G,120224,multi,train,True,,-1,-1,False,-1
120224_NF031G-NF031R,120224,multi,train,True,,-1,-1,False,-1
120224_NM002B-NM002Y,120224,multi,train,True,,-1,-1,False,-1
120224_NM003R-NM003G,120224,multi,train,True,,-1,-1,False,-1
120224_NM016B-NM016Y,120224,multi,train,True,,-1,-1,False,-1
120224_NM014B-NM014Y,120224,multi,train,True,,-1,-1,False,-1
012825_KM009R-KM009G,012825,multi,train,True,,-1,-1,False,-1
012825_NF021R-NF021G,012825,multi,train,True,,-1,-1,False,-1
011325_NF033B-NF033R,011325,multi,train,True,,-1,-1,False,-1
020525_NF021R-NF021G,020525,multi,train,True,,-1,-1,False,-1
020525_NF018B-NF018Y,020525,multi,train,True,,-1,-1,False,-1
020525_NF017R-NF017G,020525,multi,train,True,,-1,-1,False,-1
020525_KM012R-KM012G,020525,multi,train,True,,-1,-1,False,-1
020525_NF008B-NF008Y,020525,multi,train,True,,-1,-1,False,-1
020525_NF009R-NF009G,020525,multi,train,True,,-1,-1,False,-1
020525_KM009R-KM009G,020525,multi,train,True,,-1,-1,False,-1
020525_NF032Y-NF032B,020525,multi,train,True,,-1,-1,False,-1
041924_EB003B-EB019Y,041924,multi,train,True,,-1,-1,False,-1
041924_EB021R-EB023B,041924,multi,train,True,,-1,-1,False,-1
041924_EB027Y-EB029R,041924,multi,train,True,,-1,-1,False,-1
041924_EB011Y-EB015R,041924,multi,train,True,,-1,-1,False,-1
041924_EB009B-EB033Y,041924,multi,train,True,,-1,-1,False,-1
041924_EB005Y-EB007R,041924,multi,train,True,,-1,-1,False,-1
041924_EB001R-EB031B,041924,multi,train,True,,-1,-1,False,-1
032824_KL002B-KL002Y,032824,multi,train,True,,-1,-1,False,-1
032824_KL004R-KL004G,032824,multi,train,True,,-1,-1,False,-1
032824_KL001B-KL001Y,032824,multi,train,True,,-1,-1,False,-1
032824_KL003G-KL003B,032824,multi,train,True,,-1,-1,False,-1
040724_KL002B-KL002Y,040724,multi,train,True,,-1,-1,False,-1
040724_KL003G-KL003B,040724,multi,train,True,,-1,-1,False,-1
040724_KL004R-KL004G,040724,multi,train,True,,-1,-1,False,-1
