vid,session,single/multi,test/train,pred,color pair,initial nan,vel nan,correct,final nan,levers,mags,trial type,familiarity,fiber pho
090324_Cam1_TrNum12_Coop_KL002B-KL003G,090324_FiberPho_KL002B-KL003_TimeOut,multi,test,False,GB,-1.0,-1.0,False,-1.0,True,True,coop,UF,True
090324_Cam1_TrNum10_Coop_KL002B-KL003G,090324_FiberPho_KL002B-KL003_TimeOut,multi,test,False,GB,-1.0,-1.0,False,-1.0,True,True,coop,UF,True
090924_Cam1_TrNum14_Coop_KL007G-KL002B,090924_FiberPho_KL007G-KL002_TimeOut,multi,test,False,GB,-1.0,-1.0,False,-1.0,True,True,coop,UF,True
090924_Cam2_TrNum8_Coop_KL008B-KL003G,090924_FiberPho_KL008B-KL003_TimeOut,multi,test,False,GB,-1.0,-1.0,False,-1.0,True,True,coop,UF,True
090924_Cam2_TrNum12_Coop_KL008B-KL008G,090924_FiberPho_KL008B-KL003_TimeOut,multi,test,False,GB,-1.0,-1.0,False,-1.0,True,True,coop,TP,True
091224_Cam1_TrNum10_Coop_KL002B-KL008G,091224_FiberPho_KL002B-KL005_TimeOut_NoTTL,multi,test,False,GB,-1.0,-1.0,False,-1.0,True,True,coop,UF,True
091324_Cam1_TrNum14_Coop_KL006G-KL002B,091324_FiberPho_KL006G-KL002_TimeOut,multi,test,False,GB,-1.0,-1.0,False,-1.0,True,True,coop,UF,True
091624_Cam2_TrNum12_Coop_KL003B-KL007G,091624_FiberPho_KL003B-KL005_TimeOut,multi,test,False,GB,-1.0,-1.0,False,-1.0,True,True,coop,UF,True
091624_Cam2_TrNum10_Coop_KL003B-KL003G,091624_FiberPho_KL003B-KL005_TimeOut,multi,test,False,GB,-1.0,-1.0,False,-1.0,True,True,coop,TP,True
091724_Cam1_TrNum14_Coop_KL003G-KL003B,091724_FiberPho_KL003G-KL006_TimeOut,multi,test,False,GB,-1.0,-1.0,False,-1.0,True,True,coop,TP,True
091824_Cam1_TrNum14_Coop_KL006G-KL003B,091824_FiberPho_KL006G-KL003_TimeOut,multi,test,False,GB,-1.0,-1.0,False,-1.0,True,True,coop,UF,True
091824_Cam2_TrNum12_Coop_KL008G-KL008B,091824_FiberPho_KL008G-KL001_TimeOut,multi,test,False,GB,-1.0,-1.0,False,-1.0,True,True,coop,TP,True
091824_Cam2_TrNum8_Coop_KL008G-KL003B,091824_FiberPho_KL008G-KL001_TimeOut,multi,test,False,GB,-1.0,-1.0,False,-1.0,True,True,coop,UF,True
091924_Cam1_TrNum14_Coop_KL003B-KL003G,091924_FiberPho_KL003B-KL004_TimeOut,multi,test,False,GB,-1.0,-1.0,False,-1.0,True,True,coop,TP,True
091924_Cam1_TrNum10_Coop_KL003B-KL004G,091924_FiberPho_KL003B-KL004_TimeOut,multi,test,False,GB,-1.0,-1.0,False,-1.0,True,True,coop,UF,True
092624_Cam2_TrNum10_Coop_KL002B-KL008G,092624_FiberPho_KL002B-KL006_2X_TimeOut,multi,test,False,GB,-1.0,-1.0,False,-1.0,True,True,coop,UF,True
092624_Cam1_TrNum8_Coop_KL003B-KL003G,092624_FiberPho_KL003B-KL005_2X_TimeOut,multi,test,False,GB,-1.0,-1.0,False,-1.0,True,True,coop,TP,True
093024_Cam2_TrNum10_Coop_KL004G-KL005B,093024_FiberPho_KL004G-KL001_TimeOut,multi,test,False,GB,-1.0,-1.0,False,-1.0,True,True,coop,UF,True
100124_Cam1_TrNum11_Coop_KL008G-KL008B,100124_FiberPho_KL008G_KL002_2X_TimeOut,multi,test,False,GB,-1.0,-1.0,False,-1.0,True,True,coop,TP,True
100224_Cam1_TrNum14_Coop_KL006G-KL005B,100224_FiberPho_KL006G-KL008_TimeOut,multi,test,False,GB,-1.0,-1.0,False,-1.0,True,True,coop,UF,True
100324_Cam2_TrNum5_Coop_KL003B-KL003G,100324_FiberPho_KL003B_TimeOut_Opaque,multi,test,False,GB,-1.0,-1.0,False,-1.0,True,True,coop,TP,True
