<<<<<<< HEAD
animal id,first date,last date,first center,first not center,first nan,first norm center,first norm not center,first nose,first head,last center,last not center,last nan,last norm center,last norm not center,last nose,last head
EB017B,032724,043024,7.12,78.8,14.07,8.286778398510242,91.71322160148976,0.14073334442780275,0.291063404892661,19.18,72.06,8.76,21.021481806225335,78.97851819377465,0.08761125841074148,0.00614613606441005
HF003B,051624,061024,12.83,70.92,16.25,15.319402985074626,84.68059701492537,0.16248300261128024,0.03452425361909002,12.19,83.03,4.78,12.801932367149757,87.19806763285024,0.04781384710125803,0.013866895398961908
NM005R,102824,020325,6.9,36.26,56.84,15.987025023169604,84.0129749768304,0.5683842649798057,0.3762702174354056,23.98,57.18,18.84,29.546574667323807,70.4534253326762,0.18836189356603517,0.02208708233485554
NM013R,102924,020425,10.7,58.99,30.31,15.353709283971876,84.64629071602813,0.30307720655979364,0.18348074442601806,12.34,45.09,42.58,21.487027685878456,78.51297231412153,0.4257759932934766,0.1761565443755653
NM011G,102824,020425,8.29,55.15,36.56,13.067465321563681,86.93253467843633,0.3656229254259792,0.30341336578889133,29.73,59.47,10.8,33.32959641255605,66.67040358744394,0.10797918473547267,0.03567352900899256
EB010,032824,032824,8.47,64.33,27.2,11.634615384615387,88.36538461538461,0.27199985182166736,0.11756098464502028,8.47,64.33,27.2,11.634615384615387,88.36538461538461,0.27199985182166736,0.11756098464502028
NF008Y,102524,020325,5.28,45.12,49.6,10.476190476190476,89.52380952380952,0.4959598286267103,0.4034366794121712,18.23,42.92,38.85,29.8119378577269,70.1880621422731,0.38853274851334824,0.1411791995276454
KL002R,032224,032424,1.84,48.14,50.02,3.6814725890356144,96.31852741096438,0.5002280548990339,0.30397644814860886,6.63,67.46,25.9,8.94857605614793,91.05142394385207,0.25903050071133626,0.2506679621083313
KL002B,032224,032424,2.58,29.17,68.25,8.125984251968504,91.8740157480315,0.6825162923913495,0.6904445643601345,3.08,46.33,50.59,6.233555960331917,93.76644403966809,0.505877616747182,0.5268317230273752
EB034G,041724,043024,22.47,74.59,2.95,23.15062847723058,76.84937152276943,0.029488091347724957,0.0004997981584360162,24.34,73.76,1.9,24.811416921508663,75.18858307849133,0.01895687885010267,0.0002792607802874743
KL003Y,032224,032524,5.31,62.99,31.7,7.774524158125915,92.2254758418741,0.3170102385331174,0.2651038950344487,3.91,16.91,79.18,18.78001921229587,81.21998078770413,0.7917887177548899,0.7613625626003968
KL007Y,032224,032824,4.16,56.66,39.18,6.839855310753043,93.16014468924696,0.3918169273655063,0.5630724492725437,8.82,38.74,52.44,18.544995794785535,81.45500420521446,0.5244080872572493,0.3959164671455174
EB023B,032724,040224,13.72,40.35,45.94,25.37451451821713,74.62548548178287,0.45936359763664314,0.346668889259321,17.69,78.69,3.62,18.354430379746837,81.64556962025317,0.03624431801077697,0.0022577440621331167
EB011Y,032724,040224,6.05,53.3,40.65,10.193765796124685,89.80623420387532,0.40652024962500694,0.37678931871632004,22.79,73.41,3.8,23.690228690228693,76.3097713097713,0.03798731517285716,0.0017367274681200165
NF009G,102524,020325,7.1,30.99,61.91,18.64006300866369,81.35993699133631,0.6191013159087019,0.4717336367205984,11.39,62.67,25.94,15.379422090197137,84.62057790980286,0.25937949018146983,0.11243414400510883
EB028G,032724,040124,7.88,78.02,14.1,9.173457508731083,90.82654249126892,0.14097681302417367,0.16724222989639861,17.61,78.61,3.78,18.301808355851172,81.69819164414882,0.03778771782685677,2.329699002888827e-05
NF009R,102524,020325,9.7,48.84,41.47,16.569866757772463,83.43013324222753,0.41467814989602425,0.3537644925127952,15.8,60.9,23.3,20.59973924380704,79.40026075619295,0.23301565328506016,0.07549781705888617
NF032Y,110424,020325,7.98,37.77,54.24,17.442622950819672,82.55737704918033,0.5424392052773332,0.3636656387837152,15.35,41.53,43.12,26.986638537271446,73.01336146272855,0.4311581824393577,0.16363393294811426
EB032G,040824,041724,17.51,77.16,5.32,18.495827611703813,81.50417238829618,0.05324225224772716,0.0070487384265072745,12.98,67.77,19.25,16.074303405572756,83.92569659442724,0.19248289763979493,0.052505436249067505
NF010B,102524,020325,6.19,54.61,39.2,10.18092105263158,89.81907894736842,0.3919520271744803,0.23224502576072414,11.95,46.73,41.32,20.36468984321745,79.63531015678255,0.41320930831375324,0.13033892304226077
HF001R,051624,062424,14.73,71.38,13.88,17.106027174544188,82.8939728254558,0.13882831982074234,0.013390114324952716,9.4,84.84,5.76,9.974533106960951,90.02546689303904,0.05758669670403243,0.007789810818880113
EB002G,032524,040124,5.74,41.09,53.17,12.25710014947683,87.74289985052317,0.531664599541474,0.33049573420528433,13.31,76.97,9.72,14.743021710234824,85.25697828976517,0.09723580871460913,0.002235948461387965
EB011,032824,032824,5.97,85.48,8.55,6.528157463094588,93.47184253690541,0.08551046770082973,0.3495362558331685,5.97,85.48,8.55,6.528157463094588,93.47184253690541,0.08551046770082973,0.3495362558331685
KL001R,032224,032424,5.25,21.84,72.91,19.379844961240313,80.62015503875969,0.7290799692527897,0.6396214912396957,3.73,15.64,80.63,19.256582343830665,80.74341765616934,0.8063112409469905,0.8989410261091838
EB008G,032524,040924,13.05,55.15,31.8,19.13489736070381,80.86510263929618,0.31801774702962854,0.17378553165889607,15.31,74.27,10.41,17.090868497432464,82.90913150256753,0.10414527591552415,0.010891667169978459
NM014B,102924,120924,5.61,43.46,50.94,11.43264723863868,88.56735276136132,0.5093687180716671,0.5763513638124044,34.58,53.05,12.37,39.46137167636654,60.53862832363346,0.12370895846923244,0.026391606871058924
KL004G,032224,032724,4.13,55.22,40.65,6.95871946082561,93.04128053917438,0.4064664271693641,0.498777823043591,7.13,84.3,8.57,7.798315651317949,92.20168434868205,0.08568186809164775,0.23523168142888515
EB029R,040324,040424,39.9,52.29,7.81,43.28018223234624,56.71981776765376,0.0780866906116836,0.0018546833015172213,33.36,58.45,8.19,36.33591112079294,63.66408887920706,0.08188103468828227,0.002980092978900942
KM009R,010925,011725,22.39,51.4,26.21,30.342864886841035,69.65713511315897,0.26207251221393674,0.08184623296477243,13.74,61.06,25.2,18.368983957219253,81.63101604278076,0.2520478249809209,0.06127363690324769
KL003R,032224,032524,2.25,47.47,50.28,4.525341914722445,95.47465808527755,0.502793134388839,0.22290080754869895,2.77,6.94,90.29,28.527291452111225,71.47270854788877,0.9028812331884958,0.8770432443616801
EB016G,032524,033124,8.02,82.14,9.84,8.895297249334517,91.1047027506655,0.09841645700754773,0.12413053130087316,15.23,79.77,5.0,16.031578947368423,83.96842105263157,0.04996719877542095,0.0014213863984255412
HF007B,051624,060424,14.13,73.91,11.96,16.049522944116312,83.95047705588368,0.11962370445271027,0.05026904048246723,7.12,69.31,23.56,9.315713724977103,90.6842862750229,0.2356243837364422,0.02041644916188156
KM012G,010925,021025,17.72,74.3,7.98,19.25668332971093,80.74331667028906,0.07983831518241034,0.24947864370124354,11.0,43.62,45.38,20.139143170999635,79.86085682900037,0.4538156233086776,0.254980541738615
KM010B,010925,011625,17.56,61.85,20.58,22.113083994459135,77.88691600554087,0.2058489719428828,0.02702774038588434,13.93,69.04,17.02,16.78920091599373,83.21079908400627,0.1702070874314239,0.0444422478129788
KL004Y,032224,032724,7.64,50.73,41.63,13.08891553880418,86.91108446119583,0.41631322578852814,0.36980719722927047,5.22,70.46,24.32,6.897463002114165,93.10253699788584,0.2431605871886121,0.3488378558718861
NF008B,102524,020325,4.79,39.16,56.05,10.898748577929467,89.10125142207053,0.5604650089957097,0.38184250588181023,20.66,44.6,34.73,31.657983450812132,68.34201654918786,0.3473246160670906,0.19389932191216544
KL005Y,032224,032424,1.67,16.23,82.1,9.329608938547485,90.67039106145252,0.8210086399168489,0.7494965461986531,2.43,24.34,73.23,9.077325364213673,90.92267463578632,0.7323192231719249,0.6738171278775683
NM028G,110524,020525,16.28,55.35,28.37,22.727907301410028,77.27209269858997,0.283718284781641,0.15558385676838618,7.72,45.76,46.52,14.43530291697831,85.56469708302168,0.46517895047713975,0.17859977481218967
NM016B,102924,020525,8.72,40.04,51.25,17.883511074651356,82.11648892534865,0.5124971146299802,0.39124694150777894,27.91,63.22,8.87,30.626577416876994,69.37342258312302,0.08867722523719866,0.024827407981688632
KL005R,032224,032424,6.26,24.49,69.26,20.357723577235774,79.64227642276423,0.6925847228724745,0.5341592537904707,5.95,18.13,75.92,24.709302325581397,75.29069767441861,0.7591578947368421,0.688
KM011B,010925,011725,20.3,54.33,25.37,27.200857563982318,72.79914243601769,0.25372901616340104,0.038927290681357515,18.23,52.91,28.86,25.625527129603597,74.37447287039639,0.28862060882087004,0.06202069589096146
NM015G,102924,020425,14.1,37.71,48.2,27.214823393167343,72.78517660683266,0.4819950979488786,0.3447100234045298,21.0,57.06,21.94,26.90238278247502,73.09761721752498,0.21941183048194118,0.013999776361399978
EB009,032824,032824,9.48,44.09,46.43,17.69647190591749,82.3035280940825,0.46430291132676493,0.32131083783984,9.48,44.09,46.43,17.69647190591749,82.3035280940825,0.46430291132676493,0.32131083783984
NF030Y,121724,012825,8.77,45.12,46.12,16.27389125997402,83.72610874002598,0.4611546338133472,0.24649741572668465,3.79,57.7,38.51,6.163603838022443,93.83639616197756,0.3850560081466395,0.32106033604887985
HF008Y,051624,061024,15.14,67.07,17.79,18.416251064347406,81.5837489356526,0.17787141825186611,0.04359900473553255,14.71,77.65,7.64,15.926808142052835,84.07319185794717,0.07642586492979024,0.019651303895589292
EB003B,032524,043024,4.62,32.22,63.16,12.540716612377853,87.45928338762215,0.6316007712561938,0.5338150229096262,19.65,68.2,12.15,22.36767216846898,77.63232783153103,0.12151264876113677,0.007175218399774555
