animal id,first date,last date,first center,last center
NF031R,110424,020325,4.01,8.77
EB028G,032724,040124,7.88,17.61
EB020G,032724,040124,8.04,10.41
NF029R,110424,110824,8.11,2.23
KL001Y,032224,032424,0.8,1.48
NM001R,102524,020325,13.3,41.06
HF009R,060524,070324,14.84,8.02
NM024G,010725,011525,31.24,26.38
EB017B,032724,043024,7.12,19.18
NM012Y,010725,010725,27.33,27.33
KL004Y,032224,032724,7.64,5.22
KL005Y,032224,032424,1.67,2.43
EB002G,032524,040124,5.74,13.31
NM027Y,010725,031725,12.46,54.68
NM014B,102924,110724,5.61,19.91
EB011,032824,032824,5.97,5.97
NM011R,102824,020425,7.7,16.19
NF033R,010825,011625,12.89,4.8
EB021R,032724,040824,12.54,16.88
EB015,032824,032824,7.38,7.38
NM004B,102824,020325,6.04,12.88
KL006Y,032224,032424,7.41,4.75
EB032G,040824,041724,17.51,12.98
NM004Y,102824,020325,6.32,28.93
NM005G,102824,020325,5.41,11.21
EB033B,032724,040124,6.03,24.3
KL007B,032224,032824,3.13,9.37
HF014G,070224,080124,17.75,15.95
HF010B,060524,070324,16.31,7.39
NF021G,010725,011725,24.76,9.9
NM028G,110524,020525,16.28,7.72
EB012,032824,032824,11.98,11.98
EB001,032624,032624,12.7,12.7
NF030B,010825,020525,6.94,2.47
KL002B,032224,032424,2.58,3.08
NF021R,010725,012125,57.57,52.87
KL002Y,032224,032424,4.82,5.94
NM025B,010725,031725,20.31,22.13
NF033B,011625,011625,31.11,31.11
KL004R,032224,032724,0.98,4.76
EB004G,032524,043024,9.8,20.17
NM027B,010725,031725,16.58,20.99
EB003B,032524,043024,4.62,19.65
KL007Y,032224,032824,4.16,8.82
NM028R,110624,020525,0.0,53.2
NF008Y,102524,020325,5.28,18.23
KM010B,010925,011625,17.56,13.93
NM026R,010725,031825,2.07,15.65
NM005R,102824,020325,6.9,23.98
NM008B,110724,110724,7.01,7.01
KL005B,032224,032424,1.24,2.58
NM024R,010725,011525,13.89,10.21
NF022Y,010825,031725,15.42,6.95
EB011Y,032724,040224,6.05,22.79
HF005R,051624,060424,10.97,20.4
EB029R,040324,040424,39.9,33.36
NF029G,110124,110424,5.76,5.58
KM013R,010925,011525,17.41,14.47
NM002B,102524,020325,11.49,25.32
NF010B,102524,020325,6.19,11.95
KL003R,032224,032524,2.25,2.77
KL008G,032224,032824,4.27,10.39
NF017G,102824,020425,9.31,18.49
KL001B,032224,032424,0.99,3.19
NM014Y,102924,110724,13.64,16.62
