animal id,first date,last date,first center,last center
NF010Y,102524,020325,5.31,9.34
NF022B,120924,031725,4.03,22.12
EB030G,040924,040924,10.54,10.54
NF033B,121224,011625,10.3,31.11
HF008Y,051624,061024,15.14,14.71
HF007B,051624,060424,14.13,7.12
NM002Y,102524,020325,9.31,21.1
EB029Y,032724,040124,8.64,23.12
NF022Y,121124,031725,10.16,6.95
EB020G,032724,040124,8.04,10.41
KL003B,032224,032524,4.21,5.32
NF005R,110724,110724,11.75,11.75
NM001G,102524,020325,7.35,22.96
KL005R,032224,032424,6.26,5.95
NF020B,102824,020425,9.65,12.6
NF020Y,102824,020425,6.37,6.42
NM012Y,121224,010725,25.16,27.33
KL002R,032224,032424,1.84,6.63
NF030B,121324,020525,9.18,2.47
EB029R,040324,040424,39.9,33.36
EB034,032724,040124,10.44,24.08
NM004Y,102824,020325,6.32,28.93
EB018G,032524,040824,8.02,11.85
NM024R,121124,011525,13.92,10.21
KL002B,032224,032424,2.58,3.08
EB011,032824,032824,5.97,5.97
NF032B,110424,020325,8.16,11.11
HF011R,061024,062424,11.22,14.25
EB033B,032724,040124,6.03,24.3
KL004B,032224,032724,5.19,8.82
NM028R,110624,020525,0.0,53.2
NM006B,102824,020425,10.49,15.09
HF001R,051624,062424,14.73,9.4
KL007R,032224,032824,4.68,5.62
NF017R,102824,020425,5.6,17.91
NM034B,012825,030425,0.0,11.33
EB005Y,032524,040224,4.12,23.78
NF019R,102824,020425,6.43,13.63
EB018,032824,032824,6.5,6.5
KL005G,032224,032424,3.34,4.9
KL007Y,032224,032824,4.16,8.82
EB015,032824,032824,7.38,7.38
KL001B,032224,032424,0.99,3.19
KL004R,032224,032724,0.98,4.76
NM025Y,121324,031725,6.4,9.49
HF009R,060524,070324,14.84,8.02
EB011Y,032724,040224,6.05,22.79
HF012B,061024,062424,13.91,4.63
EB010G,032524,043024,15.85,16.1
NM015G,102924,020425,14.1,21.0
NM027B,121224,031725,6.14,20.99
EB006G,032524,040124,10.24,14.24
EB009,032824,032824,9.48,9.48
KL002G,032224,032424,4.04,4.64
NF019G,102824,020425,8.99,17.9
NF029R,110124,112524,6.39,7.07
KL001Y,032224,032424,0.8,1.48
NF023R,030425,031825,8.03,15.41
EB023B,032724,040224,13.72,17.69
NF033R,121224,011625,14.18,4.8
KL006B,032224,032424,9.55,5.51
EB031R,032724,040124,7.58,30.86
EB032G,040824,041724,17.51,12.98
EB019Y,032724,043024,12.09,11.84
NM027Y,121124,031725,12.01,54.68
KM011Y,010925,011625,18.1,10.96
NM005R,102824,020325,6.9,23.98
NF018Y,102824,020425,5.06,21.23
NF008B,102524,020325,4.79,20.66
KL007G,032224,032824,3.09,7.35
NF008Y,102524,020325,5.28,18.23
NM034Y,030425,030725,13.14,16.96
NF018B,102824,020425,7.68,10.46
KL008R,032224,032824,4.87,6.51
EB008,032724,032724,8.51,8.51
KL008Y,032224,032824,4.44,9.45
HF005R,051624,060424,10.97,20.4
KM013R,010925,011525,17.41,14.47
NM003R,102524,020325,6.01,11.19
NM025B,120924,031725,13.22,22.13
KL004Y,032224,032724,7.64,5.22
NM003G,102524,020325,14.46,36.46
NM013G,102924,020425,8.98,14.09
EB017,032824,032824,6.89,6.89
KM012R,011625,021025,10.27,10.46
EB015R,032724,040424,8.51,29.01
EB009B,032524,041724,8.1,17.37
KM010B,010925,011625,17.56,13.93
EB031B,040324,041724,20.86,11.3
HF004Y,051624,061024,14.75,11.82
EB022G,032724,040124,7.76,16.1
EB033Y,040324,043024,17.5,17.75
KL005Y,032224,032424,1.67,2.43
NF031G,110424,020325,4.18,19.35
HF010B,060524,070324,16.31,7.39
NM028G,110524,020525,16.28,7.72
KM016Y,011025,011625,19.75,0.0
KM016B,010925,011625,12.72,19.48
NM001R,102524,020325,13.3,41.06
EB016G,032524,033124,8.02,15.23
EB008G,032524,040924,13.05,15.31
KL007B,032224,032824,3.13,9.37
KL001G,032224,032424,6.81,5.14
EB003,032624,032724,0.0,7.23
KL003G,032224,032524,2.22,3.0
KM009R,010925,011725,22.39,13.74
EB007,032724,032724,8.81,8.81
NM014B,102924,120924,5.61,34.58
KM012G,010925,021025,17.72,11.0
EB007R,032524,040724,7.57,22.59
NF009R,102524,020325,9.7,15.8
EB006,032724,032724,7.09,7.09
HF006G,051624,062424,23.42,16.12
NM002B,102524,020325,11.49,25.32
KM009G,011425,012325,13.62,9.76
KL003Y,032224,032524,5.31,3.91
NF007R,121124,011625,9.43,49.28
NF009G,102524,020325,7.1,11.39
NM006Y,102824,020425,9.34,23.74
EB021R,032724,040824,12.54,16.88
NF017G,102824,020425,9.31,18.49
KL006R,032224,032424,2.93,2.57
EB005,032724,032724,7.95,7.95
KM015R,010925,012225,17.1,12.06
NM011G,102824,020425,8.29,29.73
NM015R,102924,020425,7.25,19.16
KL003R,032224,032524,2.25,2.77
HF013Y,070224,080124,16.59,17.66
EB001R,032524,041724,10.06,20.26
EB001,032624,032624,12.7,12.7
NM011R,102824,020425,7.7,16.19
KM011B,010925,011725,20.3,18.23
KL002Y,032224,032424,4.82,5.94
NM016Y,102924,020525,9.19,18.6
NM005G,102824,020325,5.41,11.21
EB012,032824,032824,11.98,11.98
NM013R,102924,020425,10.7,12.34
NF029G,110124,112024,5.76,3.26
NF021G,121824,011725,16.24,9.9
HF002G,051624,062424,14.14,9.84
NF007G,121224,011625,16.77,59.8
NM008B,110724,110724,7.01,7.01
NF032Y,110424,020325,7.98,15.35
NF010B,102524,020325,6.19,11.95
KL006G,032224,032424,4.84,4.62
NM004B,102824,020325,6.04,12.88
NM034R,012825,031425,17.36,4.22
KL008G,032224,032824,4.27,10.39
EB004G,032524,043024,9.8,20.17
NM026G,121124,031825,14.61,28.89
KL006Y,032224,032424,7.41,4.75
NM016B,102924,020525,8.72,27.91
EB017B,032724,043024,7.12,19.18
NM026R,121724,031825,12.28,15.65
EB024G,032724,040124,8.38,13.3
NF023G,121124,031825,11.66,16.67
EB030,032724,040124,12.42,12.63
EB002,032624,032624,10.51,10.51
EB032,032724,040124,8.04,20.5
EB002G,032524,040124,5.74,13.31
NF030Y,121724,012825,8.77,3.79
KL008B,032224,032824,4.13,5.64
NM014Y,102924,120924,13.64,13.04
EB016,032824,032824,9.21,9.21
EB012G,032524,043024,8.74,15.89
HF003B,051624,061024,12.83,12.19
EB004,032624,032724,0.0,12.08
EB010,032824,032824,8.47,8.47
NF031R,110424,020325,4.01,8.77
KM010Y,011025,011625,18.23,11.59
KL004G,032224,032724,4.13,7.13
KL001R,032224,032424,5.25,3.73
NF021R,121824,012125,8.35,52.87
EB003B,032524,043024,4.62,19.65
EB027Y,032724,040824,7.05,13.2
KM015G,010925,012125,6.46,11.16
HF014G,070224,080124,17.75,15.95
NM024G,121124,011525,10.6,26.38
EB028G,032724,040124,7.88,17.61
NF023B,120924,011525,10.53,16.43
KL005B,032224,032424,1.24,2.58
KM013G,010925,011725,18.74,9.53
EB034G,041724,043024,22.47,24.34
