animal id,first date,last date,first center,last center,first nose,first head,last nose,last head
EB017B,032724,043024,80.14,99.97,0.0005778369482812818,0.0016040753684288382,0.00011831160242447776,0.0
HF003B,051624,061024,99.87,98.37,0.0005595600534289599,0.0,0.0010666842614586083,0.0
NM005R,102824,020325,6.9,99.89,0.5683842649798057,0.3762702174354056,0.00042953384274539946,0.0
NM013R,102924,020425,99.74,99.8,0.0016906209692279343,3.224617652478349e-05,0.0011581989454874362,0.0
NM011G,102824,020425,99.54,99.91,0.0027015563915320498,0.0005578299033709523,0.00022823754964166704,0.0
EB010,032824,032824,99.92,99.92,0.0001944840615680972,0.006334623719646595,0.0001944840615680972,0.006334623719646595
NF008Y,102524,020325,5.28,99.84,0.4959598286267103,0.4034366794121712,0.0009700139175909915,0.0002530471089367804
KL002R,032224,032424,1.84,6.63,0.5002280548990339,0.30397644814860886,0.25903050071133626,0.2506679621083313
KL002B,032224,032424,2.58,3.08,0.6825162923913495,0.6904445643601345,0.505877616747182,0.5268317230273752
EB034G,041724,043024,33.52,98.69,0.0,0.0,0.0,0.0
KL003Y,032224,032524,5.31,3.91,0.3170102385331174,0.2651038950344487,0.7917887177548899,0.7613625626003968
KL007Y,032224,032824,4.16,99.49,0.3918169273655063,0.5630724492725437,0.0028376341225503235,0.0031923383878691143
EB023B,032724,040224,13.72,99.86,0.45936359763664314,0.346668889259321,0.0,0.0
EB011Y,032724,040224,6.05,78.8,0.40652024962500694,0.37678931871632004,0.00012953492165536034,0.0
NF009G,102524,020325,7.1,99.05,0.6191013159087019,0.4717336367205984,0.004822787504656484,0.000878079931882284
EB028G,032724,040124,99.89,87.93,0.0003946719289590528,0.00017760236803157376,2.329699002888827e-05,0.0
NF009R,102524,020325,9.7,99.82,0.41467814989602425,0.3537644925127952,0.001544031519539985,0.0002861782557768076
NF032Y,110424,020325,7.98,99.7,0.5424392052773332,0.3636656387837152,0.0015002748028104158,0.0013220243311893763
EB032G,040824,041724,99.89,99.77,6.69713864751285e-05,0.0,0.0012697808040886942,0.0
NF010B,102524,020325,99.7,99.27,0.0017078933135976772,9.013881377321075e-05,0.004224468119347259,0.0005713090218545817
HF001R,051624,062424,99.75,99.86,0.0008884578780614151,0.0,0.00012666359055089614,9.499769291317211e-05
EB002G,032524,040124,99.56,95.96,0.002132897357838163,0.0005919494869771113,2.7949355767349563e-05,0.0
EB011,032824,032824,91.0,91.0,0.0,0.001792135550616192,0.0,0.001792135550616192
KL001R,032224,032424,5.25,3.73,0.7290799692527897,0.6396214912396957,0.8063112409469905,0.8989410261091838
EB008G,032524,040924,99.83,99.45,0.0010715897127387577,0.0001879981952173259,0.0001811922449719152,6.03974149906384e-05
NM014B,102924,120924,5.61,99.44,0.5093687180716671,0.5763513638124044,0.0034926070884974993,0.00016307893020221786
KL004G,032224,032724,4.13,7.13,0.4064664271693641,0.498777823043591,0.08568186809164775,0.23523168142888515
EB029R,040324,040424,99.93,99.95,0.00010404320959730755,0.0,2.9800929789009416e-05,0.0
KM009R,010925,011725,99.5,99.92,0.0012728207765492414,0.0,0.00046637836004409397,0.0
KL003R,032224,032524,99.26,2.77,0.0038930215056875743,0.0004052215693652494,0.9028812331884958,0.8770432443616801
EB016G,032524,033124,99.98,48.64,0.0,7.399733609590054e-05,0.00015307238136890445,0.0
HF007B,051624,060424,99.96,99.88,5.717862602771057e-05,0.0020042613123397494,0.0005510121222666899,0.0
KM012G,010925,021025,84.71,99.79,5.149198012409567e-05,0.0,0.0010566737970670859,0.0001417489239968042
KM010B,010925,011625,99.82,99.99,0.0006466598041544593,0.0,1.976968319082687e-05,0.0
KL004Y,032224,032724,7.64,5.22,0.41631322578852814,0.36980719722927047,0.2431605871886121,0.3488378558718861
NF008B,102524,020325,4.79,99.77,0.5604650089957097,0.38184250588181023,0.0014047614018040094,0.0008555313800460508
KL005Y,032224,032424,1.67,2.43,0.8210086399168489,0.7494965461986531,0.7323192231719249,0.6738171278775683
NM028G,110524,020525,99.81,99.42,0.0010324447302042634,0.00023492754339977248,0.0029348247411263083,0.0007844657326909943
NM016B,102924,020525,99.47,99.96,0.002677623378422049,0.0007294215410184202,0.00011075423634954037,0.0
KL005R,032224,032424,6.26,5.95,0.6925847228724745,0.5341592537904707,0.7591578947368421,0.688
KM011B,010925,011725,99.4,99.85,0.0007665921729639832,0.0,0.0006195371889755869,0.0
NM015G,102924,020425,99.51,99.65,0.0026076700514162505,0.002515526233345005,0.000637370010063737,0.0
EB009,032824,032824,99.74,99.74,0.0012871323801763093,0.001439921475664864,0.0012871323801763093,0.001439921475664864
NF030Y,121724,012825,98.64,99.66,0.009597568507622794,0.0026411598348665606,0.0025856033604887982,0.0015115835030549897
HF008Y,051624,061024,99.8,99.91,0.0012320410947909142,0.0,2.4765348324624187e-05,0.0
EB003B,032524,043024,4.62,99.51,0.6316007712561938,0.5338150229096262,0.0026609004790704733,0.0
EB016,032824,032824,99.91,99.91,0.0003894586524730624,0.0,0.0003894586524730624,0.0
EB012,032824,032824,97.22,97.22,3.698635203609868e-05,0.0001849317601804934,3.698635203609868e-05,0.0001849317601804934
KL002Y,032224,032424,4.82,5.94,0.6507886610329333,0.5907098873869709,0.44324596298683944,0.46283746599789305
NF018B,102824,020425,99.85,99.58,0.000756611120338076,0.0003275572533170939,0.001755935946990613,3.3130866924351184e-05
HF013Y,070224,080124,99.93,99.93,0.0003564076239314421,0.0,0.00041218379185019375,9.025922449274315e-05
NM016Y,102924,020525,9.19,98.5,0.5973221865426493,0.3887627800538885,0.00761475167884289,0.0003320788133717069
KL006Y,032224,032424,99.81,4.75,0.0014638339018559802,0.0005640460906234053,0.2458128599355418,0.23397791514767263
EB009B,032524,041724,8.1,99.92,0.6270557078302097,0.5618749537002741,0.0,2.0841148764119878e-05
NM006B,102824,020425,10.49,99.16,0.5190161547464359,0.3184687548957268,0.004013133892739876,0.00011400948558920102
KM010Y,011025,011625,99.79,99.99,0.0010297612311870544,0.00015842480479800837,2.941591754129995e-05,1.176636701651998e-05
NF017R,102824,020425,99.88,99.86,0.0008310249307479224,0.0019205909510618651,0.0003763342760697017,6.842441383085485e-05
EB029Y,032724,040124,8.64,99.89,0.5510646112120842,0.4309203401482263,0.000541716825632003,0.0
KL006G,032224,032424,4.84,4.62,0.5914069003792434,0.5315511978540376,0.500905149826116,0.49007908151112384
KM009G,011425,012325,99.87,99.96,0.00012157210093957867,0.0,0.0002702090197514077,0.0001394627198716943
KL007G,032224,032824,3.09,99.7,0.43037962971530086,0.7792633166480075,0.001495954816058617,0.002259197069149748
NM025B,120924,031725,98.79,99.83,0.008218477572687868,0.0005478985048458579,0.0007386137299163457,0.0
