vid,session,single/multi,test/train,pred,color pair,initial nan,vel nan,correct,final nan,levers,mags,trial type,familiarity,fiber pho,initial nan no tail,vel nan no tail
090324_Cam1_TrNum14_Coop_KL002B-KL002Y,090324_FiberPho_KL002B-KL003_TimeOut,multi,test,True,YB,0.7115619607294436,0.7300032647730983,False,-1,True,True,coop,TP,True,0.6501445828086376,0.6731145935357493
090324_Cam1_TrNum12_Coop_KL002B-KL003G,090324_FiberPho_KL002B-KL003_TimeOut,multi,test,True,GB,0.7399201596806387,0.7562666333998669,False,-1,True,True,coop,UF,True,0.6835599634065203,0.7039254823685961
090324_Cam1_TrNum10_Coop_KL002B-KL003G,090324_FiberPho_KL002B-KL003_TimeOut,multi,test,True,GB,0.7211785221623591,0.7399390958069806,False,-1,True,True,coop,UF,True,0.6603582676140652,0.6837439160875562
090924_Cam1_TrNum10_Coop_KL007G-KL002Y,090924_FiberPho_KL007G-KL002_TimeOut,multi,test,True,GY,0.7439087209601813,0.7632411270797919,False,-1,True,True,coop,UF,True,0.6894606706845928,0.7133879359192293
090924_Cam1_TrNum14_Coop_KL007G-KL002B,090924_FiberPho_KL007G-KL002_TimeOut,multi,test,True,GB,0.806447174913421,0.815560510460648,False,-1,True,True,coop,UF,True,0.7644812372503439,0.7758136059585369
090924_Cam1_TrNum8_Coop_KL007G-KL007Y,090924_FiberPho_KL007G-KL002_TimeOut,multi,test,True,GY,0.8077278325123153,0.8116379310344828,False,-1,True,True,coop,TP,True,0.7659059421182266,0.7707165948275863
090924_Cam2_TrNum14_Coop_KL008B-KL002Y,090924_FiberPho_KL008B-KL003_TimeOut,multi,test,True,YB,0.7606832557169667,0.7737506081879475,False,-1,True,True,coop,UF,True,0.7049680266907625,0.7212761520817405
090924_Cam2_TrNum8_Coop_KL008B-KL003G,090924_FiberPho_KL008B-KL003_TimeOut,multi,test,True,GB,0.7683683282577336,0.7810359566169792,False,-1,True,True,coop,UF,True,0.714290484586205,0.7300983063525137
090924_Cam2_TrNum12_Coop_KL008B-KL008G,090924_FiberPho_KL008B-KL003_TimeOut,multi,test,True,GB,0.8362886748394629,0.8401744016345593,False,-1,True,True,coop,TP,True,0.8023022475189726,0.8071229203152365
091024_Cam1_TrNum8_Coop_KL007Y-KL007G,091024_FiberPho_KL007Y-KL002_TimeOut,multi,test,True,GY,0.8188629408922532,0.8232179094862296,False,-1,True,True,coop,TP,True,0.7784466097600258,0.7838581091963279
